111,Fort Wayne,41.079273,-85.139351,FWA,120
112,South Bend,41.676355,-86.251989,SBN,130
113,Lafayette,40.416702,-86.875286,LAF,100
114,Des Moines,41.586835,-93.624959,DSM,110
115,Cedar Rapids,41.97788,-91.665623,CID,100
116,Iowa City,41.661128,-91.530168,CID,110
117,Dubuque,42.500558,-90.664572,DBQ,100
118,Davenport,41.523643,-90.577636,MLI,110
119,Ames,42.034722,-93.619721,DSM,90
120,Waterloo,42.492786,-92.342577,ALO,90
121,Sioux City,42.499994,-96.400307,SUX,90
122,Council Bluffs,41.261944,-95.860833,OMA,100
123,Cedar Falls,42.534899,-92.445316,ALO,100
124,Wichita,37.688888,-97.336111,ICT,110
125,Topeka,39.055824,-95.689018,FOE,100
126,Lawrence,38.971668,-95.23525,LWC,100
127,Manhattan,39.183608,-96.571669,MHK,90
128,Hutchinson,38.060844,-97.929774,HUT,90
129,Dodge City,37.752798,-100.017079,DDC,100
130,Salina,38.84028,-97.611423,SLN,90
131,Emporia,38.403652,-96.18111,EMP,80
132,Hays,38.879178,-99.32677,HYS,90
133,Garden City,37.970829,-100.873047,GCK,90
134,Louisville,38.252665,-85.758456,SDF,120
135,Lexington,38.0406,-84.5037,LEX,180
136,Bowling Green,36.9685,-86.4808,BWG,140
137,Frankfort,38.2009,-84.8733,LEX,170
138,Owensboro,37.7749,-87.1133,OWB,140
139,New Orleans,29.9511,-90.0715,MSY,200
140,Baton Rouge,30.4515,-91.1871,BTR,160
141,Shreveport,32.5252,-93.7502,SHV,140
142,Lafayette,30.2241,-92.0198,LFT,150
143,Lake Charles,30.2266,-93.2174,LCH,140
144,Portland,43.6615,-70.2553,PWM,170
145,Bar Harbor,44.3876,-68.2039,BHB,190
146,Augusta,44.3106,-69.7795,AUG,160
147,Bangor,44.8016,-68.7712,BGR,140
148,Lewiston,44.1004,-70.2148,AUB,150
149,Ogunquit,43.2481,-70.6003,PSM,230
150,Kennebunkport,43.3617,-70.4772,PWM,270
151,Camden,44.2098,-69.0648,RKD,230
152,Brunswick,43.9145,-69.9658,PWM,200
153,Rockland,44.1036,-69.1063,RKD,200
154,Baltimore,39.2904,-76.6122,BWI,180
155,Annapolis,38.9784,-76.4922,BWI,210
156,Frederick,39.4143,-77.4105,FDK,170
157,Hagerstown,39.6418,-77.72,HGR,140
158,Ocean City,38.3365,-75.0849,OCE,230
159,Rockville,39.084,-77.1528,DCA,180
160,Silver Spring,39.004554,-77.036137,DCA,160
161,Columbia,39.203714,-76.861046,BWI,135
162,Bethesda,38.984652,-77.094709,DCA,190
163,Bowie,38.949946,-76.743921,DCA,140
164,Boston,42.360081,-71.058884,BOS,195
165,Cambridge,42.373616,-71.109734,BOS,205
166,Salem,42.51954,-70.896715,BOS,155
167,Worcester,42.262593,-71.802293,BOS,125
168,Springfield,42.101483,-72.589811,BDL,100
169,Lowell,42.633424,-71.316171,BOS,125
170,Plymouth,41.958445,-70.667262,BOS,150
171,New Bedford,41.636215,-70.934205,BOS,135
172,Cape Cod,41.66879,-70.296241,HYA,180
173,Martha's Vineyard,41.392501,-70.615775,MVY,240
174,Detroit,42.331429,-83.045753,DTW,125
175,Grand Rapids,42.96336,-85.668086,GRR,135
176,Ann Arbor,42.280825,-83.743038,DTW,150
177,Traverse City,44.763057,-85.620632,TVC,155
178,Mackinac Island,45.849548,-84.617143,MCD,300
179,Lansing,42.732535,-84.555534,LAN,120
180,Kalamazoo,42.291707,-85.587229,AZO,130
181,Holland,42.787523,-86.10984,GRR,165
182,Frankenmuth,43.321033,-83.738401,MBS,160
183,Minneapolis,44.977753,-93.265011,MSP,180
184,St. Paul,44.953705,-93.089958,MSP,165
185,Duluth,46.786672,-92.100485,DLH,135
186,Rochester,44.0234,-92.462951,RST,145
187,Bloomington,44.8408,-93.2983,MSP,131
188,Mankato,44.1636,-93.9994,MSP,126
189,Winona,44.0481,-91.6393,LSE,105
190,Stillwater,45.0564,-92.806,MSP,159
